lead_type,company_name,contractor_name,city,state,permit_type,signal_type,opportunity_score,likely_need,best_contact,notes
Industrial/Logistics,Sonoran Ridge Distribution,,Tolleson,AZ,,New Lease Signed,92,Short-haul delivery,Operations Manager,"New tenant took occupancy last month and has not yet contracted local carriers."
Industrial/Logistics,Desert Line Manufacturing,,Goodyear,AZ,,Hiring Surge,88,Supplier runs,Plant Manager,"Posted 22 warehouse and forklift roles in three weeks."
Industrial/Logistics,Cactus Cold Chain Logistics,,Chandler,AZ,,Facility Expansion Announcement,85,Overflow delivery,Logistics Director,"Announced 40000 sqft cold storage expansion to support grocery clients."
Industrial/Logistics,Copper State Auto Parts,,Mesa,AZ,,New Tenant Move-in,79,Warehouse transfer,Warehouse Supervisor,"Relocating from smaller Tempe facility; transfer of inventory expected within 60 days."
Industrial/Logistics,West Valley Staffing Solutions,,Avondale,AZ,,Hiring Surge,74,Staffing support,Branch Manager,"Rapid headcount growth signals downstream client demand for logistics labor."
Industrial/Logistics,Papago Building Supply,,Phoenix,AZ,,Manufacturing Expansion,90,Short-haul delivery,Supply Chain Manager,"New distribution hub for building materials serving West Valley construction boom."
Industrial/Logistics,Superstition Foods Co-Pack,,Mesa,AZ,,New Lease Signed,86,Overflow delivery,Plant Operations Lead,"Co-packing facility ramping production for two new retail contracts."
Industrial/Logistics,Verde Valley Ag Exports,,Casa Grande,AZ,,Supplier and Distributor Growth,71,Supplier runs,Export Coordinator,"Expanding export volume to Mexico via I-10 corridor."
Industrial/Logistics,Pinnacle Peak Electronics,,Scottsdale,AZ,,Facility Expansion Announcement,77,Supplier runs,Procurement Manager,"Expanding component assembly line; expects increased inbound freight."
Industrial/Logistics,Salt River Packaging,,Tempe,AZ,,New Tenant Move-in,68,Warehouse transfer,Facilities Manager,"New corrugate packaging tenant moved into shared industrial park."
Industrial/Logistics,Tucson Rail Freight Yard Partners,,Tucson,AZ,,Manufacturing Expansion,94,Short-haul delivery,Terminal Manager,"New transload facility increases short-haul drayage demand from rail to local warehouses."
Industrial/Logistics,Sun Corridor Medical Supply,,Tucson,AZ,,Hiring Surge,73,Staffing support,Distribution Manager,"Hiring pickers and drivers ahead of regional contract launch."
Industrial/Logistics,Buckeye Bulk Materials,,Buckeye,AZ,,Facility Expansion Announcement,82,Supplier runs,Yard Operations Manager,"Expanding aggregate storage capacity to serve Phoenix metro construction demand."
Industrial/Logistics,North Valley Beverage Bottling,,Surprise,AZ,,New Lease Signed,89,Short-haul delivery,Logistics Coordinator,"New bottling line increases outbound pallet volume to regional distributors."
Industrial/Logistics,Painted Desert Textiles,,Flagstaff,AZ,,Supplier and Distributor Growth,64,Overflow delivery,Operations Coordinator,"Growing regional distributor network for outdoor apparel line."
Plumbing Permit,,Ironwood Plumbing Co.,Phoenix,AZ,Plumbing permits,Permit Filed,82,"Pipe, fittings, fixtures",Owner/operator,"Permit filed for full residential re-pipe on a single-family home."
Plumbing Permit,,Sonora Gas & Plumbing,Chandler,AZ,Gas line permits,Permit Filed,75,"Gas line pipe, valves, regulators",Field Supervisor,"New gas line permit for a restaurant tenant improvement."
Plumbing Permit,,Rapid Flow Plumbing,Tempe,AZ,Water heater replacements,Permit Filed,68,"Water heaters, venting kits, expansion tanks",Dispatch Manager,"High-volume water heater replacement permits; recurring seasonal signal."
Plumbing Permit,,Canyon State Sewer & Drain,Tucson,AZ,Sewer permits,Permit Filed,79,"Sewer pipe, fittings, cleanouts",Operations Manager,"Sewer line replacement permit tied to aging Tucson neighborhood infrastructure."
Plumbing Permit,,Valley Backflow Testing & Repair,Scottsdale,AZ,Backflow permits,Permit Filed,61,"Backflow preventer assemblies, test kits",Compliance Coordinator,"Annual backflow testing permit renewal for a commercial property."
Plumbing Permit,,Desert Blue Pool Plumbing,Gilbert,AZ,Pool plumbing,Permit Filed,70,"PVC pipe, pumps, valves, pool fittings",Project Coordinator,"New pool construction permit; plumbing rough-in phase upcoming."
Plumbing Permit,,Copperline Remodel & Plumbing,Mesa,AZ,Remodel permits,Permit Filed,73,"Fixtures, supply lines, drain assemblies",Project Manager,"Kitchen and bath remodel permit for a single-family residence."
Plumbing Permit,,Desert Ridge Plumbing LLC,Mesa,AZ,Tenant improvements,Permit Issued,88,"PEX fittings, valves, water heaters, gas line supplies",Project manager or purchasing contact,"Permit issued this week for a commercial remodel; plumbing scope likely with a material list opportunity."
Plumbing Permit,,Foothills Plumbing Contractors,Buckeye,AZ,New residential construction,Permit Filed,84,"Full rough-in plumbing package, fixtures",Purchasing Manager,"Permit filed for a new 42-home residential subdivision phase."
Plumbing Permit,,Metro Mechanical Plumbing,Goodyear,AZ,New commercial construction,Permit Filed,91,"Commercial-grade pipe, fixtures, backflow assemblies",Project Manager,"New commercial construction permit for a 60000 sqft distribution office build-out."
